ID,GENRE,UR,ML,CR,MY,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western
1, Adventure|Animation|Children|Comedy|Fantasy,16,155,5,1995,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2, Adventure|Children|Fantasy,16,117,1,1995,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3, Comedy|Romance,3,138,3,1995,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
4, Comedy|Drama|Romance,14,166,2,1995,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
5, Comedy,4,40,3,1995,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6, Action|Crime|Thriller,18,88,1,1995,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
7, Comedy|Romance,9,157,4,1995,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
8, Adventure|Children,18,126,2,1995,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9, Action,10,166,2,1995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10, Action|Adventure|Thriller,7,161,5,1995,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11, Comedy|Drama|Romance,8,38,2,1995,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
12, Comedy|Horror,17,131,2,1995,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
13, Animation|Children,8,109,5,1995,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14, Drama,11,162,5,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
15, Action|Adventure|Romance,4,134,2,1995,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
16, Crime|Drama,11,98,4,1995,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
17, Comedy|Drama|Romance,1,110,1,1995,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
18, Comedy|Drama|Thriller,19,98,4,1995,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
19, Comedy,10,88,5,1995,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20, Action|Comedy|Crime|Drama|Thriller,17,90,4,1995,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0
21, Action|Comedy|Drama,15,135,1,1995,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
22, Crime|Drama|Horror|Mystery|Thriller,8,163,4,1995,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0
23, Action|Crime|Thriller,4,146,2,1995,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
24, Drama|Sci-Fi,3,134,3,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
25, Drama|Romance,15,171,1,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
26, Drama,12,129,2,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
27, Drama,15,139,4,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
28, Drama|Romance,1,112,4,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
29, Adventure|Drama|Fantasy|Mystery|Sci-Fi,15,32,2,1995,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0
30, Crime|Drama,16,92,2,1995,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
31, Drama,17,86,2,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
32, Sci-Fi|Thriller,15,164,4,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
33, Adventure|IMAX|Romance,6,65,5,1995,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
34, Children|Comedy|Drama|Fantasy,6,169,1,1995,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
35, Drama|Romance,15,164,2,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
36, Crime|Drama,1,113,2,1995,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
37, Documentary|IMAX,12,114,4,1995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
